"","type","Migration","name","x","y"
"271","tno:coastal_migration_satellite_0_40k",-0.89415448,1592,-1.2284949293,45.9363621863
"272","tno:coastal_migration_satellite_0_40k",1.05587565,1593,-1.2287094864,45.9394696274
"273","tno:coastal_migration_satellite_0_40k",-0.91449886,1594,-1.2298414372,45.9424636847
"274","tno:coastal_migration_satellite_0_40k",0.38079815,1595,-1.231725722,45.9452881763
"275","tno:coastal_migration_satellite_0_40k",-1.30689193,1596,-1.2340173984,45.9479742026
"276","tno:coastal_migration_satellite_0_40k",-0.26082476,1597,-1.2363090747,45.9506600987
"277","tno:coastal_migration_satellite_0_40k",-1.78950756,1598,-1.238600751,45.9533458647
"278","tno:coastal_migration_satellite_0_40k",-0.53113241,1599,-1.2398085559,45.956345853
"279","tno:coastal_migration_satellite_0_40k",-16.36175661,1600,-1.2397729811,45.9593999448
"280","tno:coastal_migration_satellite_0_40k",0.80792825,1601,-1.2389911582,45.9624745937
"281","tno:coastal_migration_satellite_0_40k",-4.41098333,1602,-1.2384533775,45.9655706474
"282","tno:coastal_migration_satellite_0_40k",-8.32370124,1603,-1.2381035391,45.9686831277
"283","tno:coastal_migration_satellite_0_40k",-1.09974538,1604,-1.2377537007,45.9717954331
"284","tno:coastal_migration_satellite_0_40k",-0.77450553,1605,-1.2376533784,45.974914577
"285","tno:coastal_migration_satellite_0_40k",9.60177187,1606,-1.2376405637,45.9780360018
"286","tno:coastal_migration_satellite_0_40k",4.11870256,1607,-1.237627749,45.9811572506
"287","tno:coastal_migration_satellite_0_40k",2.26259247,1608,-1.2383183371,45.9842385646
"288","tno:coastal_migration_satellite_0_40k",0.69872471,1609,-1.2404322475,45.9868615878
"289","tno:coastal_migration_satellite_0_40k",-1.58376622,1610,-1.2441247187,45.9886049773
"290","tno:coastal_migration_satellite_0_40k",-2.39141484,1611,-1.2482284233,45.9898547277
"291","tno:coastal_migration_satellite_0_40k",-2.51850889,1612,-1.252589329,45.9905553867
"292","tno:coastal_migration_satellite_0_40k",-2.4444918,1613,-1.2570798444,45.9904875626
"293","tno:coastal_migration_satellite_0_40k",-3.20713501,1614,-1.2615604819,45.990345686
"294","tno:coastal_migration_satellite_0_40k",-3.39910144,1615,-1.2659924717,45.989839054
"295","tno:coastal_migration_satellite_0_40k",-3.01479883,1616,-1.2704244615,45.9893324173
"296","tno:coastal_migration_satellite_0_40k",-3.35242519,1617,-1.2748564513,45.988825776
"297","tno:coastal_migration_satellite_0_40k",-2.45639798,1618,-1.2793078783,45.9884405399
"298","tno:coastal_migration_satellite_0_40k",-1.85033177,1619,-1.2837917776,45.9882581549
"299","tno:coastal_migration_satellite_0_40k",-3.10568407,1620,-1.2882706852,45.988379775
"300","tno:coastal_migration_satellite_0_40k",-1.51638645,1621,-1.2927255381,45.9887233038
